SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
2024,Y,24FTSARNYB,2024-08-12,1,2,495,495,No Horse,No Horse,,,2023-03-29,2023,1,B,C,,Y,,,NY,MCKINZIE,MCKINZIE,GUN CLUB,GUN CLUB,TRAPPE SHOT,TRAPPE SHOT,,,,0,,,1901-01-01,SEQUEL NEW YORK AGENT II,,,,KENNETH MCPEEK AGENT FOR HAROLD LERNER,,,,130000,,https://vimeo.com/995060215,,,T,0.0,,GUN CLUB,MCKINZIE,TRAPPE SHOT,
2024,Y,24FTSARNYB,2024-08-12,1,2,496,496,No Horse,No Horse,,,2023-02-05,2023,1,B,C,,Y,,,NY,KING FOR A DAY,KING FOR A DAY,HALDANE,HALDANE,RAFFIE'S MAJESTY,RAFFIE'S MAJESTY,,,,0,,,1901-01-01,LEGACY BLOODSTOCK AGENT V,,,,NOT SOLD,,,,27000,,https://vimeo.com/996432411,,,T,0.0,,HALDANE,KING FOR A DAY,RAFFIE'S MAJESTY,
2024,Y,24FTSARNYB,2024-08-12,1,2,497,497,No Horse,No Horse,,,2023-04-11,2023,1,B,F,,Y,,,NY,FROSTED,FROSTED,HAUGHTY GIRL,HAUGHTY GIRL,QUALITY ROAD,QUALITY ROAD,,,,0,,,1901-01-01,DENALI STUD AGENT II,,,,JOHN R MURRELL,,,,100000,,https://vimeo.com/996843860?share=copy,,,T,0.0,,HAUGHTY GIRL,FROSTED,QUALITY ROAD,
2024,Y,24FTSARNYB,2024-08-12,1,2,498,498,No Horse,No Horse,,,2023-02-18,2023,1,DKB,F,,Y,,,NY,CONNECT,CONNECT,HEAVENS WHISPER,HEAVENS WHISPER,HAT TRICK (JPN),HAT TRICK (JPN),,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT CXIII,,,,OUT,,,,0,,,,,T,0.0,,HEAVENS WHISPER,CONNECT,HAT TRICK (JPN),
2024,Y,24FTSARNYB,2024-08-12,1,2,499,499,No Horse,No Horse,,,2023-03-31,2023,1,CH,C,,Y,,,NY,AUTHENTIC,AUTHENTIC,HELD ACCOUNTABLE,HELD ACCOUNTABLE,EXCHANGE RATE,EXCHANGE RATE,,,,0,,,1901-01-01,SEQUEL NEW YORK AGENT FOR CHESTER & MARY BROMAN,,,,OUT,,,,0,,,,,T,0.0,,HELD ACCOUNTABLE,AUTHENTIC,EXCHANGE RATE,
2024,Y,24FTSARNYB,2024-08-12,1,2,500,500,No Horse,No Horse,,,2023-03-16,2023,1,DKB,F,,Y,,,NY,MO TOWN,MO TOWN,HIGH PITCH,HIGH PITCH,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,0,,,1901-01-01,SEQUEL NEW YORK AGENT VII,,,,NOT SOLD,,,,5000,,https://vimeo.com/995058443,,,T,0.0,,HIGH PITCH,MO TOWN,MEDAGLIA D'ORO,
2024,Y,24FTSARNYB,2024-08-12,1,2,501,501,No Horse,No Horse,,,2023-05-08,2023,1,B,C,,Y,,,NY,GIRVIN,GIRVIN,HIGH SPEED STEF,HIGH SPEED STEF,LIAM'S MAP,LIAM'S MAP,,,,0,,,1901-01-01,PARAMOUNT SALES AGENT VI,,,,NOT SOLD,,,,30000,,https://vimeo.com/993269112,,,T,0.0,,HIGH SPEED STEF,GIRVIN,LIAM'S MAP,
2024,Y,24FTSARNYB,2024-08-12,1,2,502,502,No Horse,No Horse,,,2023-03-15,2023,1,B,C,,Y,,,NY,BOLT D'ORO,BOLT D'ORO,HOW SWEEP IT IS,HOW SWEEP IT IS,FLAT OUT,FLAT OUT,,,,0,,,1901-01-01,VINERY SALES AGENT XXIII,,,,OUT,,,,0,,,,,T,0.0,,HOW SWEEP IT IS,BOLT D'ORO,FLAT OUT,
2024,Y,24FTSARNYB,2024-08-12,1,2,503,503,No Horse,No Horse,,,2023-04-15,2023,1,DKB,F,,Y,,,NY,YAUPON,YAUPON,IGNITE,IGNITE,JUMP START,JUMP START,,,,0,,,1901-01-01,THE NEW HILL FARM,,,,KLARAVICH STABLE INC,,,,200000,,https://vimeo.com/996008988?share=copy,,,T,0.0,,IGNITE,YAUPON,JUMP START,
2024,Y,24FTSARNYB,2024-08-12,1,2,504,504,No Horse,No Horse,,,2023-01-26,2023,1,DKB,C,,Y,,,NY,COUNTRY HOUSE,COUNTRY HOUSE,IMWAYTOOCOOLFORYOU,IMWAYTOOCOOLFORYOU,TIZNOW,TIZNOW,,,,0,,,1901-01-01,BLAKE-ALBINA THOROUGHBRED SERVICES LLC AGENT V,,,,OUT,,,,0,,https://vimeo.com/995086425,,,T,0.0,,IMWAYTOOCOOLFORYOU,COUNTRY HOUSE,TIZNOW,
